CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
–liqe-	-kb2s-	deal with N		kaviiliquq ‘he's dealing with foxes’ (from kaviiq ‘fox’); pagunghaliquq ‘he's working with berries’ (from pagunghaq ‘berry’); uuknaliquq ‘he is making prophecies’ (from uukna ‘that which is to come’);  iluliquq ‘he has heart trouble’ (lexicalized, from ilu ‘interior’); ululiquq ‘he is being sarcastic, speaking inappropriately’ (lexicalized, from ulu ‘tongue’); may be shortened to ––iqe- (q.v.)	work with N	pain in one's N								trouble (have ~ with one's N)			to deal with N; to work with N; to have pain in one's N; to have trouble with one's N		pb PE liq0-				–liqe-	liqe	liqe	-лиқы-
–liite-	-k7ns-	obtain (have ~ed (object) as one’s N)		piliitaqa ‘it's mine now’ (from pi ‘thing’); angyaliitaa ‘it’s his boat now’ (from angyaq ‘boat’); neliitiit ‘they have made it their home’ (from nae ‘place, home’)													to have obtained (object) as one’s N		< -ligh-(u)te-				–liite-	lite	lxte	-лӣты-
–llaag-	-k]9u-	crudely V		neghellaagtuq ‘he ate in a crude way; he (a crude one) ate’ (from negh<e>- ‘to eat’)	crude one V-s	clumsy (V in a ~ way)							needs more examples				to V in a crude or clumsy way; crude one V-s						–llaag-	llag	llxg	-лья̄г-
–llaak	-k]9r	crude N		angyallaak ‘bad boat’ (from angyaq);  atkullaak ‘bad parka’ (from atkuk ‘parka’); kamellaagek ‘bad pair of boots’ (from kamek ‘boot’); = -rraak	clumsy N	bad N											crude N; clumsy N; bad N						–llaak	llak	llxk	-лья̄к
–llegagh-	-k]suf4-	crudely V											need examples				to V crudely						–llegagh-	llegagh-	llegagh-	-льыгаӷ-
–llegaq*	-k]suf2	crudely made N		angyallegaq ‘crudely made boat’ (from angyaq ‘boat’); kamellegaak ‘pair of crudely made boots’ (from kamek ‘boot’)													crudely made N						–llegaq*	llegaq	llegaq	-льыгақ
–lleghpigaq	-l]s5gbuf2	most V one		aangelleghpigaq ‘biggest one’ (from aange- ‘to be big’); taakelleghpigaq ‘longest one’ (from taake- ‘to be long’)													most V one		< -lleq-pigaq				–lleghpigaq	lleghpigaq	lleghpigaq	-дьыҳпигақ
–lleghqaq	-k]s52f2	future act of V-ing		aghneghsaghtulleghqaa ‘her future act, her intention, of going to spend the day (at a certain place)’ (from aghneghsaghtugh- ‘to go to spend the day’); Aghhutanga tamaghhaan takwaaqiit mangtaaghhaat.  Iiskughtaqiit maniggaat tukelleghqiit. ‘Every day they would check the eggs in the nest. ‘They would watch for when those the little eggs would hatch.’ (from tukegh- ‘to hatch’) (PIYAA. 8)	act (future ~ of V-ing)												future act of V-ing		-lleq1-kaq				–lleghqaq	lleghqaq	lleghqaq	-льыҳқақ
?lleghqiite-	-k]s527ns-	never V in the future											needs examples				to never V in the future		< -lleghqaq-(ng)ite-				?lleghqiite-	lleghqite	lleghqxte	-льыҳқӣты-
–llek	-k]sr	well (one who V-s ~)		pillek ‘capable person’ (from pi- ‘to do’); atullget ‘good singers’ (from atugh- ‘to sing’); angyallek ‘good boatman’ (from angyagh- ‘to use a boat’); also possibly, Quyillek ‘Chukchi’ (from an unidentified base)	proficient V-er	good V-er											one who V-s well; proficient V-er; good V-er		pb PE @(0)!u-				–llek	llek	llek	-льык
–lleq1	-k]s2¡	one that has V-ed or been V-ed		tugullgha ‘the thing he took’ (from tugu- ‘to take’); igalleq ‘the one who wrote; the act of writing’ (from igagh- ‘to write’); the following are book titles: Sikumengllu Eslamengllu Esghapalleghput  (from esghapag- ‘to watch’) ‘Watching Ice and Weather Our Way’ (literally, ‘our act of watching ice and weather’); Akuzilleput Igaqullghet (from akuzi- ‘to speak’, and igaqu- ‘to write down’) ‘Our Words Put to Paper’ (literally, ‘the ones we spoke -- the ones that were written down’)	act of V-ing; activity of V-ing	one the possessor V-ed											one that has V-ed or been V-ed; act of V-ing; activity of V-ing; the one the possessor V-ed		pb PE -@0q				–lleq1	lleq1	lleq1	-льық1
–lleq2	-k]s2™	one or ones which are V to the greatest extent		iknaqellghuftunga pinighqaallghuftunga, nangniitellghuftunga ‘it turns out that I am the stronger one, the more capable one, the more fearless one.’ (from iknaqe- ‘to be strong’, pinighqaa- ‘to be capable’, and nangniite- ‘to be fearless’) (AANGHHAQ  38); cf. -neq3	most (the one or ones which are ~ V)	more (the one or ones which are ~ V)											one or ones which are V to the greatest extent; most V one(s); more V one(s)						–lleq2	lleq2	lleq2	-льық2
@+lleqe-	-k]s2s-	future (V in the ~)		qiyallequq ‘he will cry’ (from qiya- ‘to cry’); kuuvelleqaa ‘he will spill it’ (from kuuve- ‘to spill’); qavaghllequq ‘he will sleep’ (from qavagh- ‘to sleep’); esghaghlleqamken ‘I'll see you’ (from esghagh- ‘to see’); drops te: kaallequq ‘he will arrive’ (from kaate- ‘to arrive’); ingaghllequq ‘he will lie down’ (from ingaghte- ‘to lie down’)	will V												to V in the future; will V		pb PE ciq0-				@+lleqe-	lleqe	lleqe	-льықы-
–llgaq	-k][f2	one with small N		savillgaq ‘one with a little knife; little one with a knife’ (from savik ‘knife’)	little one with N								needs more examples				one with small N; little one with N						–llgaq	llgaq	llgaq	-льхақ
–llghite-	-k]5bns-	not V		neghellghitaa ‘he didn't eat it’ (from negh<e>- ‘to eat’); laalightellghitaa ‘he didn't visit him’ (from laalighte- to visit’); qavallghituq ‘he didn't sleep’ (from qavagh- ‘to sleep’); itellghituq ‘he didn't enter’ (from itegh- ‘to enter’); apparently interchangeable with –nghite- (q.v.)									see if this really is interchangeable with -nghite- ???				to not V		< -lleq-(ng)ite-				–llghite-	llghite	llghite	-льҳиты-
–llgilliqe-	-k]bk]b2s-	experience trouble in V-ing		qavallgilliqunga ‘I had trouble sleeping’ (from qavagh- ‘to sleep’)     									needs further examples				to experience trouble in V-ing						–llgilliqe-	llgilliqe	llgilliqe	-льильиқы-
–llgiite-	-k][7ns-	poor (become a ~ V-er)		atullgiituq ‘he lost his ability to sing’ (from atugh- ‘to sing’)									needs more examples				to become a poor V-er		< -llek-(ng)i(gh)ute-				–llgiite-	llgite	llgxte	-льхӣты-
–llgite-	-k]bns-	poorly (V ~)		akuzillgituq ‘he speaks poorly’ (from akuzi- ‘to speak’); pillgituq ‘he is inept’ (from pi- ‘to do’)									needs further examples				to V poorly		< -llek-(ng)ite-				–llgite-	llgite	llgite	-льиты-
–llgu-	-k][e-	well (to V ~)		akuzillguuq ‘he speaks well’ (from akuzi- ‘to speak’); Aywaaneng anuqa ugavaneng ayuqenghani qawaagniillgunaghaquq. ‘Whenever it was the case that the wind was from the north or northwest it (the conditions) would be conducive to hunting birds successfully.’ (from qawaagniigh- ‘to hunt birds’) (SIVUQ. NANGAGH. 1:134)									needs further examples				to V well		< -llek-(ng)u-; pb PE @(0)!u-				–llgu-	llgu	llgu	-льху-
?lliighagh-	-k]74f4-	get V-er		non-productive; takelliighaghtuq ‘it got shorter’ (from root take- as in takelli- ‘to shorten’ and taake- ‘to be long’); mekelliighaghaa ‘he made it smaller’ (from root meke- as in mekelli- ‘to get smaller’ and mekestaaghhaq ‘small thing’); uniighlliighaghtuq ‘it became pliable’ (from uniigh- ‘to become limp’); qetulliighaghtuq ‘it softened’ (from root qetu- as in qetusqaaq or qetusqwaaq ‘soft thing’); aghqelliighaghaa ‘he made it low’ (from root aghqe- as in aghqestaaghhaq ‘low thing’)	make (it) more V												to get V-er; to make (it) more V						?lliighagh-	llighagh	llxghagh	-льӣӷаӷ-
±lliqe-	-kb2s-	trouble (have ~ V-ing or with one’s N)		qavaghlliquq ‘he has insomnia’ (from qavagh- ‘to sleep’); ilulliquq ‘he’s in a bad mood’ (from ilu ‘inside’); nelliquq ‘he’s behaving badly’ (lexicalized, from nae ‘place, home’); paarghulliquq ‘he has appendicitis’ (from paarghuk ‘appendix’); pineghlliquq ‘he’s being obstinate, stubborn’ (from pineq ‘the activity of doing things’); qaneghlliquq ‘he’s gossiping’ (lexicalized, from qanegh- ‘to speak idly’); qenngulliquq ‘he’s frowing or squinting’ (from qenngu ‘brow area’); tuyelliquq ‘he has aching shoulders’ (from tuyae ‘shoulder’); ululliquq ‘he’s being sarcastic, speaking inappropriately’ (lexicalized, from ulu ‘tongue’); umyugaghlliquq ‘he has a difficult disposition’ (from umyugaq ‘mind’); uyaqulliquq ‘he has neck pains’ (from uyaquq ‘neck’); aqsalliquq ‘he has a stomachache’ (from aqsa ‘stomach’)													to have trouble V-ing or with one’s N		< -lluk-iqe-				±lliqe-	lliqe	lliqe	-лиқы-
±llug-	-k]/u-	undesirable (V in a ~ way; ~ one V-s)			bad (V in a ~ way; ~ one V-s)								need examples				to V in an undesirable or bad way; for undesirable or bad one to V		pb PE @(0)!u-				±llug-	llug	llug	-льюг-
±lluggaq	-k]/[f2	dear little meek N		yulluggaq ‘dear little meek man’ (from yu<u>k ‘person’); Legan savigpani amuluku nanevgalluggaq tawavek piighaghlluku tuqutaa. ‘And so pulling out his great big knife he killed the little ol’ man, cutting him up.’ (from nanevgaq ‘old man’) (QATEP. 26)	little (dear ~ meek N)	meek (dear little ~ N)							need more examples				dear little meek N		< -lluk-ghhaq				±lluggaq	lluggaq	lluggaq	-льюхақ
±lluk	-k]/r	poor quality N		yulluk ‘bad man’ (from yu<u>k ‘man’); iyelluk ‘eye trouble’ (from iyae ‘eye’); ilulluk ‘bad-tempered person’ (from ilu ‘insides’); neqelluk ‘old food’ (from neqae ‘food’); tepelluk ‘bad odor’ (from tepae ‘odor’); eslalluk ‘rain’ (from esla ‘weather’); itegalluk or itegaghlluk ‘sore or infected foot’ (from itegaq ‘foot’); naasqughlluk ‘aged fish head’ (from naasquq ‘head’); qaneghlluk ‘gossip’ (lexicalized, from qaneq ‘mouth’ (or qanegh- ‘to speak idly’)); tanqighlluk ‘bright moonlight’ (lexicalized, from tanqiq ‘moon’); angyaghlluk ‘small ice floe used as a makeshift boat or raft to cross open water’ (lexicalized, from angyaq ‘boat’); tugutluk ‘fossilized tusk’ (lexicalized, from tugun ‘tusk’)	undesirable N	ideal (N not in its ~ state)								bad N			poor quality N; bad N; undesirable N; N not in its ideal state		pb PE @(0)!u-				±lluk	lluk	lluk	-льюк
–lqiinagh-	-k]27yf4-	long time (V for a ~)		= -lqinagh-									need examples				to V for a long time		< -?-(ng)inagh-				–lqiinagh-	lqinagh	lqxnagh	-льқӣнаӷ-
–lqinagh-	-k]2byf4-	long time (V for a ~)		… igleghtuq, igleghtuq, igleghtelqinaghluni, kii, nenglughrukutaaghllak esghaghaa. ‘… he traveled, and traveled and after traveling for a long time, lo and behold he saw a great big house.’ (from igleghte- ‘to travel’) (AYUM. UNGIP. II:26); cf. -lqiinagh-									need more examples				to V for a long time		< ?-(ng)inagh-				–lqinagh-	lqinagh	lqinagh	-льқинаӷ-
–lqusiigh-	-k]2ec74-	angrily V		akuzilqusiightuq ‘he’s making sharp, caustic remarks’ (from akuzi- ‘to speak’)													to V angrily		< -lqusiq-(ng)igh- (?)				–lqusiigh-	lqusigh	lqusxgh	-льқусӣӷ-
–lqusiq	-k]2ecb2	all N		used with time words; yields forms which may function as nouns or adverbial particles; aghnelqusiq ‘all day’ (from aghneq ‘day’); unulqusiq ‘all night’ (from unuk ‘night’); unaalqusiq ‘all morning’ (from unaaq ‘morning’); kiilqusiq ‘all summer’ (from kiik ‘summer’); uksulqusiq ‘all winter’ (from uksuq ‘winter’); upenghalqusiq ‘all spring’ (from upenghaq ‘spring’); ayumilqusiq ‘all year’ (from ayumiq ‘year’); ighivgalqusiq ‘since last year’ (from ighivgaq ‘last year’); aawhkalqusiq ‘since some time ago’ (from aawhkan ‘a while ago’); Maani quyngighniighuluta quunpeng kiilqusiq uksulqusiq quyngiq nayuqluku ayuqegkefut, quyngighniighllagulghiikut. ‘After we started herding reindeer here always, it seems, we’d watch the reindeer, all summer and all winter.’ (from kiik ‘summer’, and uksuq ‘winter’) (SIVUQ. UNGIP. 21); Nome-elluteng tagiyalghiimeng, sloop-engumalghiit Cheechako-nguftuq aatgha angyaghpalqusighraagpak ataasimeng napaghyaqelghii. ‘Having gone to Nome when the one that was a sloop came its name was Cheechako, a fairly big ship having a single mast.’ (from angyaghpak ‘ship’) (SIVUQ. NANGAGH. 3:112)	throughout the N	since last N								big N			all N; throughout the N; since last N; big N		< -?-(u)siq			> -naqelqusiigh-	–lqusiq	lqusiq	lqusiq	-льқусиқ
–lqwaaq	-k]2162	old N		non-productive; aghnalqwaaq ‘old woman’ (from aghnaq ‘woman’); = -rqwaaq, -sqwaaq									cf. CAY -lquar(aq) -- a new CED set!				old N		+pb PY -@quaq ‘old’				–lqwaaq	lqwaq	lqwxq	-льқӱāқ
@+lugh-	-k/4-	little (V a ~)		piyuglughtuq ‘he walked a little; the little one walked’ (from piyug- ‘to walk’); kaallughtuq ‘the little one arrived’ (from kaate- ‘to arrive’)	little one V-s												to V a little; little one V-s 						@+lugh-	lugh	lugh	-люӷ-
–lugpigaq	-k/[gbuf2	fine old N		angyalugpigaq ‘fine old boat’ (from angyaq ‘boat’)	old (fine ~ N)								need more examples				fine old N		< luk-pigaq; pb PY lu!pi!aq				–lugpigaq	lugpigaq	lugpigaq	-люхпигақ
–luk	-k/r	old (in age) N		angyaluk ‘old boat’ (from angyaq ‘boat’); qikmiluk ‘old dog’ (from qikmiq ‘dog’); Kiigmi enraq temkaluget aghvigluku, satangi kavighlluki piiqiit kamengllaghaqiit. ‘In the summer they would wash the old sealskin pants, color their skin side re, and make them into boots.’ (from temka(k) ‘sealskin pant(s), trouser(s)’) (SIVUQ. NANGAGH. 1:114)													old (in age) N						–luk	luk	luk	-люк
																	M							m	m	
-ma-				see @~:(i/u)ma-													to have V-ed or been V-ed; to be in a state of having V-ed or been V-ed; with participial mood: to evidently have V-ed or been V-ed						@~:(i/u)ma-	ma	ma	
-mafte-				see @~:(i/u)mafte-													how much subject evidently has V-ed!						@~:(i/u)mafte-	mafte-	mafte-	
-magh-				see at @~:(i/u)magh-													while V-ing						@~:(i/u)magh-	magh	magh	
-man				see @~:(i/u)man													the time while V-ing; the course of V-ing						@~:(i/u)man	man	man	
-manginagh-				see @~:(i/u)manginagh-													V-ing every time; V-ing the whole time						@~:(i/u)manginagh-	manginagh	manginagh	
-mangite-				see @~:(i/u)mangite-													to not have V-ed						@~:(i/u)mangite-	mangite	mangite	
+mete-1	-vsns-¡	be V		a contraction of the 4th person singular quantifier/qualifier ending +mi and the archaic verb base ete- ‘to be’; now a postbase in its own right as can be seen by the fact that it can take endings other than 3rd person singular; iqragmetuq ‘it is uneven’, iqragmetut ‘they are uneven’, iqragmelnguq ‘an uneven thing’ (from postural root iqrag- ‘uneven’)									need more examples				to be V						+mete-1	mete1	mete1	-мыты-1
~f%mete-2	-vsns-™	at (be ~ N)		a contraction of the singular localis ending %~fmi and the archaic verb base ete- ‘to be’; now a postbase in it’s own right ; angyametuq ‘he is in the boat’ (from angyaq ‘boat’); kiiwmetuq ‘it is at the river’ (from kiikw ‘river’); see also -nte-, -nite-2	in (be ~ N)	be at or in N											to be at N; to be in N		pb PY m0t0-				~f%mete-2	mete2	mete2	-мыты-2
~f+mii	-v7	resident of N		Ungazighmii ‘resident of New Chaplino’ (from Ungaziq ‘New Chaplino’); Sivungaghmii ‘resident of Savoonga’ (from Sivungaq ‘Savoonga’); Quutmiit ‘Chukotkans’ (from Qutae ‘Chukotka’); Sivuqaghhmiit ‘residents of Gambell or St. Lawrence Island’ (from Sivuqaq ‘Gambell or St. Lawrence Island’); Pugughileghmiit ‘people of, or ancestrally from, Pugughileq (“Poowooiliak”)’); Ruuseghmii ‘Russian’ (from English or Russian “Russia”); Iintiyaghmii ‘Indian’ (from English “India(n)”)	inhabitant of N												resident of N; inhabitant of N		pb PE mi3u				~f+mii	mi	mx	-мӣ
