CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
iqeghtiigh-	иқыҳтӣӷ-	b2s5n74-	to remove or lose paint; to scrape one’s skin accidently	remove or lose paint	scrape one’s skin accidently			angyam piingha iqeghtiighumaaq ‘the paint on the boat is wearing out’; ikuyeni iqeghtiighaa iquluni ‘he scraped his skin when he fell’				< iqeghtaq-(ng)igh-	VK		iqeghtigh-	iqeghtxgh-
iqeghutaq	иқыӷутақ	b2s4enf2	rope used to tether a dead walrus	rope used to tether a dead walrus				Chukotkan (R)				< iqeghte-(u)n	CK Rub 157		iqeghutaq	iqeghutaq
iqekestaaghhaq*	иқыкыстāҳақ	b2srscn65f2	narrow thing	narrow thing				iqekestaaghhaaguq ‘it is narrow’				< iqe-(ke)staaghhaq			iqekestaghhaq*	iqekestxghhaq*
iqekestaaq	иқыкыстāқ	b2srscn62 	narrow thing	narrow thing				iqekestaaghuuq ‘it is narrow’				< iqe-(ke)staaq			iqekestaq	iqekestxq
iqelmun	иқылмун	b2skvey	widthwise; across the width	widthwise	across the width							< iqe-?-mun	SLI JR. DICT. 67		iqelmun	iqelmun
iqelquq	иқыльқуқ	b2sk]2e2	little finger	little finger	finger (little ~)			iqelqghwa ‘his little finger’				PE iq0lqu3			iqelquq	iqelquq
iqemyaaghagh-	иқымья̄ҳаӷ-	b2svm95f4-	to grin broadly	grin broadly				Umiilek aga aanlaataghtuq iqemyaaghaamaghmi. ‘The King went out again with a big grin on his face.’ (SIVUQ. NANGAGH. 3:232)				< iqae-?-			iqemyaghagh-	iqemyxghagh-
iqenge-	иқыңы-	b2s3s-	to smile	smile				iqenguq ‘he is smiling’ / iqengutaa ‘he is smiling at her’				< iqae-nge-			iqenge-	iqenge-
iqetu-	иқыту-	b2sne-	to be wide	wide (be ~)				iqetuuq ‘it is wide’ / iqetuqaq ‘wide thing’				< iqae-tu-			iqetu-	iqetu-
iqetughte-	иқытуҳты-	b2sne5ns-	to widen	widen				iqetughtuq ‘it became wide’; iqetughtaa ‘he widened it’ /				< iqe-tu-ghte-			iqetughte-	iqetughte-
iqetutalae	иқытуталаы	b2snenfkfs	width	width				iqetutalnga or iqetutalanga ‘its width’				< iqetu-tala			iqetutalae	iqetutalae
iqezegaq	иқызыгақ	b2spsuf2	skin and blubber from corner of whale's mouth	skin and blubber from corner of whale's mouth	blubber and skin from corner of whale's mouth							< iqae-?-			iqezegaq	iqezegaq
iqezeghaq	иқызыӷақ	b2sps4f2	skin and fat (mangtak) from corner of whale’s mouth	skin and fat (mangtak) from corner of whale’s mouth								< iqae-?	VK		iqezeghaq	iqezeghaq
iqiqute-	иқиқуты-	b2b2ens-	to move (it/him) over or away; remove (it/him)	move (it/him) over or away	remove (it/him)			iqiqutaa ‘he moved over to make room for her’; akuzitkegutmineng iqiqutaa ‘since he is a convincing speaker he got him to move away from the situation’; Drum-a tamaana iqiqughtaakaat sukalluku, iqitkaqegkangat guunnayukan. ‘They quickly removed all the oil drums before they could explode’ (SIVUQ. NANGAGH. 2:66)			???	< iqite-	VK		iqiqute-	iqiqute-
iqite-	иқиты-	b2bns-	to move; to remove	move	remove			iqituq ‘he moved’; iqitaa ‘he removed it’ /							iqite-	iqite-
iqitqute-	иқитқуты-	b2bn2ens-	to move away from a crowd	move away from a crowd				uglaghyugluni ilamineng waran ellnga iqitqutuq ‘he left because he felt that there were too much of a crowd’					CK A & W 30		iqitqute-	iqitqute-
iqitute-	иқитуты-	b2bnens-	to make room for	room (make ~ for)	make room for			iqitutuk ‘they2 separated, made room for eachother’; iqitutaa ‘he made room for him’				< iqite-(u)te-			iqitute-	iqitute-
iqlengagh-	иқльыңаӷ-	b2k]s3f4-	to be a liar	liar (be a ~)				iqlengaghtuq ‘he is a liar’; iqlungalghii ‘liar’ / Aqlaghaghwuggaaq uksaaqestami iqlengaawaquq. ‘When it begins to feel cold in early fall the cold weather is not here for real.’ (SLI JR. DICT. 67); cf. iqlumghu-				+ PY iqlu&a3- ‘be a liar’ (under PY-S iqlu) (cf. Central Alaskan Yup’ik iq@u&a3- ‘be a liar’)			iqlengagh-	iqlengagh-
iqlengasak	иқльыңасяк	b2k]s3fczr	liar	liar								< iqlengagh-?-sak			iqlengasak	iqlengasak
iqlengiqe-	иқльыңиқы-	b2k]s3b2s-	to lie; to tell lie(s)	lie (prevaricate)	tell lie(s)			iqlengiquq ‘he lied, he was telling lies’ / iqlengiqutaa ‘he lied for her’; iqlengiqutkaa ‘he lied about her’				< iqlengagh-liqe-			iqlengiqe-	iqlengiqe-
iqligh-	иқльиӷ-	b2k]b4-	to light a seal-oil lamp	light a seal-oil lamp				Chukotkan (R)					CK Rub 155		iqligh-	iqligh-
iqlighayiilliqe-	иқльиӷаӥӣльиқы-	b2k]b4fq7k]b2s-	to smile awkwardly from embarrassment	smile awkwardly from embarrassment				iqlighayiilliquq ‘he smiled in an awkward way’; cf. iqlighte-				PE iqli3-			iqlighayilliqe-	iqlighayxlliqe-
iqlighmete-	иқльиӷмыты-	b2k]b4vsns-	to be smiling	smiling (be ~)				iqlighmetuq ‘he is smiling’ / Taawa naqam iqlighmetngwaaghtuk, iiggeput aghulataataghiik angyam imiini. ‘But the whole time they2 were smiling, shaking hands with everyone in the boat.’ (SIVUQ. NANGAGH. 2:204)				< iqligh(te)-mete-	VK		iqlighmete-	iqlighmete-
iqlighte-	иқльиҳты-	b2k]b5ns-	to smile	smile				cf. iqlighayiilliqe-				PE iqli3-	CK Rub 155 CK		iqlighte-	iqlighte-
iqlugte-	иқльюхты-	b2k]/[ns-	to gnaw	gnaw				iqlugtuq ‘he gnawed something’; iqlugtaa ‘he gnawed it’ /							iqlugte-	iqlugte-
iqlumghu-,	иқльюмӷу-	b2k]/v4e-	to doubt; to be unsure of something	doubt	unsure (be ~ of something)			iqlumghuuq ‘he is unsure’ / ungipaq iqlumghunaghtuq ‘the news is questionable’; iqlumghuyukaak ullghitagni ‘he had doubts about his snowmachine’				PY-S iqlu-			iqlumghu-	iqlumghu-
iiqmig-	ӣқмиг-	72vbu-	to put something in the mouth without eating it	put something in the mouth without eating it				cf. iqa				PE iqmi!-			iqmig-	xqmig-
iiqmik	ӣқмик	72vbr	something held inside the mouth in the cheek; sugar cube	mouth (something held inside the ~ in the cheek)	sugar cube							PE iqmi!-; < iqae-mik			iqmik	xqmik
iqmiligha-	иқмилиӷа-	b2vbkb4f-	to have so much food in the mouth that the cheeks bulge	cheeks bulge (have so much food in the mouth that the ~)				neqni taam iqmilighatkaa ‘he stuffed his food so much that his cheeks  bulged’; neragkiighem repall iqmilighaluni ‘he was eating so fast that his checks bulged’; cf. iiqmig-				PY-S iqmi!-	CK A & W 30		iqmiligha-	iqmiligha-
iqmiqaq	иқмиқақ	b2vb2f2	ornament-like appendage hanging from the side of the mouth of an auklet	appendage, ornament-like, hanging from the side of the mouth of an auklet				kayumun nuluusit iqsaget iiqngikun sukilpaam iqmiqaaneng iqmiqighaqiit ‘the appendages from the sides of the mouth of the auklet are used on the sides of a fishing lure as appendages’; kavilngughmeng iqsani iqmiqighluku nulughtuq ‘he fished using red appendages on the sides of his fishing lure’; cf. iiqmig-				PY-S iqmi!-	CK A & W 30		iqmiqaq	iqmiqaq
iqrag-	иқшаг-	b2ifu-	uneven; distorted	uneven	distorted			postural root; iqragtuq it got uneven; iqragtaa he made it uneven; iqragngaaq ‘it is uneven’				PE iqla!-			iqrag-	iqrag-
iqraghqe-	иқҳқы-	b252s-	to become crooked; to distort one’s face	crooked (become ~)	distort one’s face				rhbdbncz. dshf;fnm yteljdjkmcndbt vbvbrjq			< iqrag-ghqe£-	CK  V & E 173 CK		iqraghqe-	iqraghqe-
iqragmete-	иқшагмыты-	b2ifuvsns-	to be crooked; to be slanted	crooked (be ~)	slanting (be ~)			iqragmetuq ‘it is crooked or slanted’ / Iqragmetaghngaata kakinaqutkegkaagunga, nalikek eight, nine-years-ngulunga. ‘Even though they (the stitches) were crooked I tried to sew all the time when I was eight or nine.’ (SIVUQ. NANGAGH. 1:94)				< iqrag-mete-			iqragmete-	iqragmete-
iqregaghte-	иқшыгаҳты-	b2isuf5ns-	to chip	chip				iqregaghtuq ‘it chipped’; iqregaghtaa ‘he chipped it’ /				< iqrek-?-			iqregaghte-	iqregaghte-
iqrek	иқшык	b2isr	tip of pointed object; point; little bit	tip of pointed object	point	little bit						PY-S iq$0k			iqrek	iqrek
iqsak	иқсяк	b2czr	fish hook	fish hook	hook (fish ~)							PE iqla! or iqya!			iqsak	iqsak
iqu-	иқу-	b2e-	to fall over	fall over				iquuq ‘he or it fell over ‘/ iqutaa ‘he knocked it over’; iquvzightuq ‘it almost fell, he stumbled’; ullghitam igleghaviga vega iqustengngwaaghluni ‘the grass on the all-terrain vehicle trail was quite flattened’		; > iqunighte-, iqwaagha-		PE iqu-			iqu-	iqu-
iqugte-	иқухты-	b2e[ns-	to end; to come to an end	end	come to an end			iqugtekan ‘when it comes to an end’				< iquk-?-			iqugte-	iqugte-
iquk	иқук	b2er	end; tip	end	tip			iquga ‘its end’		’; > iqugte-, iqukliq, iqukruk, iquyaq		PE iqqu3 or iqqu!			iquk	iquk
iquklighpigaq	иқуқльиҳпигақ	b2e2k]b5gbuf2	the very end	end (the very ~)								< iqukliq-pigaq			iquklighpigaq	iquklighpigaq
iqukliq	иқукльиқ	b2erk]b2	the one at the end	end (the one at the ~)								< iquk-qliq			iqukliq	iqukliq
iqukngitaq	иқукңьитақ	b2er3]bnf2	clothes placed next to one lying down for warmth or to block a draft	clothes placed next to one lying down for warmth or to block a draft				Chukotkan (R)			exact meaning?	< iquk-?-(ng)itaq	CK Rub 156		iqukngitaq	iqukngitaq
iqukngwaaq	иқукңӱāқ	b2er3162	end or edge piece trimmed off of something	end or edge piece trimmed off of something				iqukngwaaghet neqet qikmimun neghqutkennakesi ‘feed the cut of end or edge pieces of meat to the dogs’				< iquk-?-(ghw/ngw/w)aaq	VK		iqukngwaq	iqukngwxq
iqukruk	иқукшук	b2erier	the very end	end (the very ~)								< iquk-?-ruk			iqukruk	iqukruk
iqunighte-	иқуниҳты-	b2eyb5ns-	to slant; to lean; to tilt; to favor (agree or side with someone)	slant	lean	tilt	favor (agree or side with someone)					< iqu-?-			iqunighte-	iqunighte-
iqusleq	иқусльық	b2eck]s2	bent grass stuck to the ground; matted grass	bent grass stuck to the ground	matted grass			nunivagmi iqusleq kaasaqmegteggu quyngim tumanga ‘they came across bent grass in the tundra and found out it was the tracks of reindeer’				< iqu-?	CK A & W 31		iqusleq	iqusleq
iqute-	иқуты-	b2ens-	to defeat in a wrestling match	defeat in a wrestling match					gj,t;kfnm d ,jhm,t			< iqu-te1-	CK V & E 99, CK		iqute-	iqute-
iquyaq1	иқуяқ1	b2ez2¡	piece of ivory between harpoon point and shaft	piece of ivory between harpoon point and shaft	harpoon part (piece of ivory between harpoon point and shaft)			this piece is fastened to the shaft			 see Harpoon Parts in Appendix	< iqu-?- (?)			iquyaq1	iquyaq1
iquyaq2	иқуяқ2	b2ez2™	type of clam	clam type				exact identification undetermined							iquyaq2	iquyaq2
iqwaagha-	иқӱāӷа-	b2164f-	to stumble or stagger around	stumble or stagger around				iqwaaghaaq ‘he staggered or stumbled around’ /				< iqu-?-			iqwagha-	iqwxgha-
iiqwaq	ӣқӱақ	721f2	walrus meat and skin aged in underground cellar	walrus meat and skin aged in underground cellar									VK		iqwaq	xqwaq
iriig-	ирӣг-	bh7u-	to not fall; to stay erect	not fall	stay erect	fall (not ~)	erect (stay ~)	aghvightami miluqiit ullenghinneghata iriigniiqiit ‘when they play a certain game, the thrown objects that don’t fall are said to still be erect’; milusaghluku iriigtuq ‘when he threw it, it didn’t fall’					CK A & W 31		irig-	irxg-
isami-	исами-	bcfvb-	to pay attention to (him); to tend to (him)	pay attention to (him)	tend to (him)			isamii ‘she payed attention to him, tended to him’ / kukriqnayukan isamiighnaken ‘in case he has difficulty, pay attention to him’; uyuqlightaasi isamiighaqluki ‘pay attention to those that are younger than you’				PE	CK A & W 31		isami-	isami-
isavghagh-	исявӷаӷ-	bczd4f4-	to move boat on sea ice using small sled	boat on sea ice using mall sled				isavghaghtut ‘they are moving a boat’; isavghaghaat ‘they are moving it’ / = esavghagh-				PE isav!a3			isavghagh-	isavghagh-
isavghaq	исявӷақ	bczd4f2	person moving a boat on sea ice using a small sled	person moving a boat on sea ice using a small sled				= esavghaq				PE isav!a3			isavghaq	isavghaq
iseki	исыки	bcsrb	how cold!	cold (how ~!)				exclamatory particle; said when coming into contact with cold liquid or solid				PE it90			iseki	iseki
isekinagh-	исыкинаӷ-	bcsrbyf4-	to be cold to the touch (of water, metal, etc.)	cold (be ~ to the touch (of water, metal, etc.))				isekinaghtuq ‘it feels cold’ / isekinaghtaa ‘it got cold’				< iseki-nagh-			isekinagh-	isekinagh-
isi, isigima	иси, исигима	bcb. bcbubvf	I thought (mistakenly) that; it seemed that	thought (I ~ (mistakenly) that)	seemed (it ~ that)			particle; … isi keviiwaqelghii quyngim keviqaqegkanga isigima. Liitngwaaghlunga piyalghiinga aghveghwaaqeftuq aghvengllaqaghhaq. ‘… I thought it was a sausage, stuffed with reindeer, so it seemed. After I learned what was what I realized that it was a figurine or a whale, an image of a whale. (SIVUQ. NANGAGH. 2:144); Taagken neghulluta, apeghiighluta, elngaataall, isigimaqun laluramkestun ayuqumalghiit nangaghneghit ... neghnaqillghit, sangighquqayuget. Tipelelget, salget. ‘Then we ate, afterwards, it sure seemed to me, that their customs where like that of the white people … the way they eat, how they washed the dishes. They had tables and other such things.' (PANGEGH. 3)				PE ici!wa			isi, isigima	isi, isigima
isiqaghte-	исиқаҳты-	bcb2f5ns-	to splash	splash				isiqaghtuq ‘he splashed himself’; isiqaghtaa ‘he splashed her’ / = esiqaghte-				PE ciq03- and ciq(q)i-			isiqaghte-	isiqaghte-
isiqghute-	исиқҳуты-	bcb25ens-	to toss out liquid; to throw out liquid	toss out liquid	throw out liquid			cf. isiqaghte-				PE ciq03- and ciq(q)i-			isiqghute-	isiqghute-
isiqghuute-	исиқҳӯты-	bcb258ns-	to fall into the water with a splash	fall into the water with a splash				cf. isiqaghte-				PE ciq03- and ciq(q)i-			isiqghute-	isiqghxte-
iiskak	ӣскак	7crfr	kidney	kidney				iiskagegka or iiskagenka ‘my kidneys’							iskak	xskak
iiskegte-	ӣскыҳты-	7crs5ns-	to have good eyes, good eyesight	eyes (have good ~)	good eyesight (have ~)			Iiskegtekuvek iingunaghmi yugusin nighugllagullequq, iwernga iyellugmeskuvek iingunaghmi yugusin mamlegllagullequq. ‘If you have good eyes, your entire body will be full of light, but if you have bad eyes your entire body will be full of darkness.’ (Matthew 6.22-23)				< iyae-kegte-			iskegte-	xskegte-
iiskughte-	ӣскуҳты-	7cre5ns-	to guard; to watch out for	guard	watch out for			iiskughtaa ‘he is guarding it, he is watching out for her’ / iiskughtiiq ‘he is standing guard’		; > iiskughtista		PE 090k0- (under PE 090)			iskughte-	xskughte-
iiskughtista	ӣскуҳтиста	7cre5nbcnf	watchman; guard	watchman	guard							< iiskughte-i1-(s)ta			iskughtista	xskughtista
iisqaghmig-	ӣсқаӷмиг-	7c2f4vbu-	to put (it) on one's shoulder	put (it) on one’s shoulder	shoulder (put (it) on one’s ~)			iisqaghmigaa ‘he put it on his shoulder’ /		; > iisqaghmiitaq		< iisqaq-mig-			isqaghmig-	xsqaghmig-
iisqaghmiitaq	ӣсқаӷмӣтақ	7c2f4v7nf2	yoke (as for carrying water in buckets)	yoke (as for carrying water in buckets)								< iisqaghmig-(u)taq			isqaghmitaq	xsqaghmxtaq
iisqaq	ӣсқақ	7c2f2	area of body around top of shoulders and back of neck	shoulders (area of body around top of ~ and back of neck)				used in the dual, iisqak, for that body area		> iisqaghmig-					isqaq	xsqaq
iisqiighute-	ӣсқӣӷуты-	7c274ens-	to slump down; to let one’s shoulders droop	slump down	droop (let one’s shoulders ~)			peng’gem elngaatall iisqiighutuq ‘he slumped down due to worry’				< iisqaq-(ng)i(gh)ute-			isqighute-	xsqxghute-
iisqugh-	ӣсқуӷ-	7c2e4-	intimidated; hesitant to look another in the eye; considerate of the feelings of others; self-conscious	intimidated	hesitant to look another in the eye	considerate of the feelings of others	self-conscious	emotional root; iisqughyugtuq ‘he feels hesitant to look someone in the face, feels intimidated’; iisqughyukaa ‘he feels intimidated by him’; iisqughnaghtuq ‘he is feared, intimidating’; iisqughyughqaa ‘he made her feel intimidated’; mekelghiiq iisqughyugigalnguq ilani algumastekluni neghelghii ‘the boy ate without regarding the feelings of others and thus made his companions (who weren’t eating) covetous (of what he was eating)’; iisqughyugtaat ilangit esghapagtuulluku ‘they made him self-conscious when they stared at him’; aleni kayunneghisan iisquqaa ‘when his companion didn’t catch fish he was considerate of him (and gave him some fish)’							isqugh-	xsqugh-
iisqughte-	ӣсқуҳты-	7c2e5ns-	to get a foreign object in one's eye	foreign object in one’s eye (get a ~)				iisqughtuq ‘he got something in his eye’ / aghnaghaghhaq iisqughtuq pagulameng ‘the little girl got dust in her eye’; cf. iya							isqughte-	xsqughte-
iisqughun	ӣсқуӷун	7c2e4ey	foreign object in eye	foreign object in eye				Sangan esghaghsigu yulgutegpek iisqughutnga, elpek katam iisqughuten unaghsighllak avelghaghluku? ‘Why do you notice the [tiny] thing in the eye of your fellow person, while missing the thing in your own eye, though it be a large piece of wood?’ (Matthew 7.3)				< iisqughte-(u)n			isqughun	xsqughun
itag-	итаг-	bnfu-						root; > itagnagh-, itagsi-, itagtaq, itake-							itag-	itag-
itagnagh-	итагнаӷ-	bnfuyf4-	to be okay; to be satisfactory; to be acceptable	okay (be ~)	satisfactory (be ~)	acceptable (be ~)		itagnaghsiin? ‘are you okay?’; Taaqluni nanevgaam iitghesqumayaqanga ingleghmun. Mekelghiighem pimakanga, "Itagnaghtunga whani qavaghllequnga."  ‘Finally the old man told him to come in to the sleeping area. The boy answered him, “I’m okay (where I am), I’ll sleep here.”’ (UNGIPAGHAGH. 68)				< itag-naq			itagnagh-	itagnagh-
itagnaghhalek	итагнаҳалык	bnfuyf5fksr	so fine!; so satisfactory!	fine (so ~!)	satisfactory (so ~!)			exclamatory particle				< itagnagh-ghhalek			itagnaghhalek	itagnaghhalek
